,Ticker,Buy_Date,Buy_Price,Buy_Prob,Sell_Date,Sell_Price,Sell_Prob,Pair_Profit,Principal,Profit,Total Profit
0,000070,2021-01-07,78600,0.625,2021-01-08,78300,0.668,-0.631,9936900.0,-,-0.63
1,000070,2021-02-26,85400,0.615,2021-03-11,91100,0.643,6.408,10573656.55,+,5.74
2,000070,2021-04-15,97700,0.689,2021-04-23,144000,0.621,47.021,15545495.6,+,55.45
3,000070,2021-04-29,133000,0.649,2021-07-06,109000,0.667,-18.25,12708442.65,-,27.08
4,000070,2021-07-07,107000,0.604,2021-07-29,111000,0.728,3.479,13150569.37,+,31.51
5,000070,2021-08-04,108500,0.689,2021-09-06,120500,0.677,10.782,14568463.76,+,45.68
6,000070,2021-09-16,125000,0.605,2021-10-21,105500,0.646,-15.811,12265043.95,-,22.65
7,000070,2021-11-01,106000,0.675,2021-11-18,103500,0.665,-2.603,11945784.86,-,19.46
8,000070,2021-11-23,100500,0.689,2021-12-17,100000,0.714,-0.746,11856669.3,-,18.57
