,Ticker,Number of Transactions
0,000020,5
1,000040,7
2,000050,6
3,000060,8
4,000070,9
5,000075,3
6,000080,5
7,000087,5
8,000100,7
9,000105,5
10,000120,6
11,000140,4
12,000145,6
13,000150,6
14,000155,6
15,000157,4
16,000180,6
17,000210,8
18,000215,4
19,000220,4
20,000225,6
21,000227,7
22,000230,7
23,000240,7
24,000270,5
25,000300,6
26,000320,9
27,000325,4
28,000370,7
29,000390,5
30,000400,5
31,000430,5
32,000480,2
33,000490,7
34,000500,6
35,000520,7
36,000540,7
37,000545,4
38,000547,7
39,000590,6
40,000640,6
41,000650,7
42,000660,6
43,000670,7
44,000680,6
45,000700,6
46,000720,6
47,000725,3
48,000760,5
49,000810,4
